0.0183957	1.06842e-19	-0.0183957	
0.0325284	1.88925e-19	-0.0325284	
0.0466481	2.70932e-19	-0.0466481	
0.0607492	3.52831e-19	-0.0607492	
0.0748259	4.34589e-19	-0.0748259	
0.0888728	5.16173e-19	-0.0888728	
0.102884	5.9755e-19	-0.102884	
0.116854	6.78689e-19	-0.116854	
0.130778	7.59556e-19	-0.130778	
0.144649	8.40119e-19	-0.144649	
0.158462	9.20346e-19	-0.158462	
0.172212	1.0002e-18	-0.172212	
0.185893	1.07966e-18	-0.185893	
0.199499	1.15869e-18	-0.199499	
0.213026	1.23725e-18	-0.213026	
0.226468	1.31532e-18	-0.226468	
0.239819	1.39287e-18	-0.239819	
0.253074	1.46985e-18	-0.253074	
0.266228	1.54625e-18	-0.266228	
0.279275	1.62203e-18	-0.279275	
0.292211	1.69716e-18	-0.292211	
0.305029	1.77161e-18	-0.305029	
0.317726	1.84535e-18	-0.317726	
0.330296	1.91836e-18	-0.330296	
0.342734	1.9906e-18	-0.342734	
0.355034	2.06204e-18	-0.355034	
0.367193	2.13265e-18	-0.367193	
0.379204	2.20242e-18	-0.379204	
0.391064	2.2713e-18	-0.391064	
0.402768	2.33927e-18	-0.402768	
0.41431	2.40631e-18	-0.41431	
0.425687	2.47239e-18	-0.425687	
0.436893	2.53747e-18	-0.436893	
0.447925	2.60155e-18	-0.447925	
0.458777	2.66458e-18	-0.458777	
0.469446	2.72654e-18	-0.469446	
0.479928	2.78742e-18	-0.479928	
0.490217	2.84718e-18	-0.490217	
0.50031	2.9058e-18	-0.50031	
0.510203	2.96326e-18	-0.510203	
0.519892	3.01953e-18	-0.519892	
0.529373	3.0746e-18	-0.529373	
0.538642	3.12843e-18	-0.538642	
0.547696	3.18102e-18	-0.547696	
0.556531	3.23233e-18	-0.556531	
0.565143	3.28235e-18	-0.565143	
0.573529	3.33106e-18	-0.573529	
0.581686	3.37843e-18	-0.581686	
0.58961	3.42445e-18	-0.58961	
0.597298	3.46911e-18	-0.597298	
0.604748	3.51237e-18	-0.604748	
0.611955	3.55423e-18	-0.611955	
0.618918	3.59467e-18	-0.618918	
0.625633	3.63367e-18	-0.625633	
0.632098	3.67122e-18	-0.632098	
0.63831	3.7073e-18	-0.63831	
0.644266	3.7419e-18	-0.644266	
0.649965	3.775e-18	-0.649965	
0.655404	3.80659e-18	-0.655404	
0.660581	3.83665e-18	-0.660581	
0.665494	3.86519e-18	-0.665494	
0.67014	3.89217e-18	-0.67014	
0.674519	3.9176e-18	-0.674519	
0.678627	3.94147e-18	-0.678627	
0.682465	3.96375e-18	-0.682465	
0.686029	3.98445e-18	-0.686029	
0.689319	4.00356e-18	-0.689319	
0.692333	4.02106e-18	-0.692333	
0.69507	4.03696e-18	-0.69507	
0.697529	4.05124e-18	-0.697529	
0.699709	4.06391e-18	-0.699709	
0.701609	4.07494e-18	-0.701609	
0.703229	4.08435e-18	-0.703229	
0.704567	4.09212e-18	-0.704567	
0.705624	4.09826e-18	-0.705624	
0.706398	4.10276e-18	-0.706398	
0.70689	4.10561e-18	-0.70689	
0.707099	4.10683e-18	-0.707099	
0.707025	4.1064e-18	-0.707025	
0.706668	4.10433e-18	-0.706668	
0.706029	4.10061e-18	-0.706029	
0.705107	4.09526e-18	-0.705107	
0.703903	4.08827e-18	-0.703903	
0.702418	4.07964e-18	-0.702418	
0.700652	4.06938e-18	-0.700652	
0.698605	4.0575e-18	-0.698605	
